Theme,,Question,Answer 1,Answer 2,Answer 3,Answer 4,Description,Enabled,,
Nintendo,1,Who is Bowser?,Nintendo boss,Mario's archenemy,Internet browsing app,An Dinosoure,,0,,
Nintendo,2,Can we consider Metroid Prime: Federation Force a true game in the Metroid Prime series?,No,Yes,"Well, maybe someone enjoyed it...",This is a provocative question!,,,,
Nintendo,3,Who is this elf according to your girlfriend?,Zelda,Link,Legolas,Frodo,,,,
Nintendo,4,Which Nintendo console sold the worst?,Wii U,Nintendo Switch,3DS,Virtual Boy,,,,
Nintendo,5,Which Nintendo console sold the best as of 2023?,Nintendo Switch,Nintendo DS,Wii,Game Boy,,,,
Nintendo,6,What color was the screen in the Nintendo Virtual Boy?,Red with black,Black and white,Red with white,Colorful,,,,
Nintendo,7,What is considered the main reason for the failure of the Wii U?,Marketing with confusing messaging and featuring disruptive children,Weak hardware of the console,A lack of first-party games from Nintendo,Uncomfortable gamepad-tablet,,,,
Nintendo,8,Which of the following does Nintendo own the rights to?,Pornographic film based on the Mario Brothers,Patent on Metroidvania-style games,,,,,,
Xbox,9,What was the name of the voice assistant in Halo?,Cortana,Karen,Master Chief,Reaver ,,0,,
Nintendo,10,What is the difference between the Nintendo Switch and the Nintendo Switch OLED?,OLED screen + bigger screen + new stand,OLED screen + bigger screen,OLED screen,OLED screen + bigger screen + new stand + additional processor in the docking station,,,,
Nintendo,11,What day is Mario Day celebrated?,March 10th.,February 14th,April 18th,August 20th,,,,
Nintendo,12,What is Virtual Console?,Retro game emulation service,Nintendo console with a stereoscopic screen,,,,,,
Nintendo,13,What does Nintendo do when they see fans making something with their own hands using Mario characters?,Files lawsuits against them,Nintendo may offer to pay royalties through a collaboration program,Nintendo may hire the best fans to work for them,Nothing,,,,
Nintendo,14,How many batteries were in the original GameBoy?,4,2,6,8,,,,
Nintendo,15,"What Nintendo game was announced in 2017, but then two years later it was announced that development would be rebooted from scratch?",Metroid prime 4,Pikmin 4,Metroid Prime Trilogy,The Legend of Zelda: Tears of the Kingdom ,,,,
Nintendo,16,"Why does Nintendo have mostly the same characters in their games, but very different gameplay?",Because Nintendo are geniuses,"Because in games, gameplay is the most important aspect",ecause bearded 40-year-old men love Mario,"Hey, what about Splatoon and that...what's his name?",Because Nintendo knows how to make games,,,
Nintendo,17,What game was the guy playing on the plane in the very first Nintendo Switch commercial?,Skyrim,Super Mario,The Legend of Zelda,Mariokart,,,,
Nintendo,18,In which Mario game does Mario not have to save the princess?,Super Mario 3D World,Super Mario Oddysey,Super Mario Bros.,Super Mario 64,,,,
Nintendo,19,Which Nintendo game series is the best?,Super Mario,Zelda,Metroid,Kirby,I can't believe you chose only one,,,
Nintendo,20,In which game was Mario able to run around in just his underwear?,Super Mario Oddysey,Super Mario Sunshine,Super Mario Galaxy,Super Mario Galaxy 2,,,,
Nintendo,21,In which game is the gameplay time tied to real-time in real world?,Animal crossing,Pokémon Sword and Shield,Pokémon Scarlet and Violet,Super Mario Maker 2,,,,
Nintendo,22,Which Nintendo console switched from cartridges to compact discs?,GameCube,Nintendo 64,Wii,Wii U,,,,
Nintendo,23,Which was the first fully 3D Mario game?,Super Mario 64,Super Mario Sunshine,Super Mario 3D World,Super Mario 3D Land,,,,
Nintendo,24,Which was the first fully 3D game in The Legend of Zelda series?,Ocarina of Time,Majora's Mask,The Wind Waker,Twilight Princess,,,,
Nintendo,25,In which game of The Legend of Zelda series could you control a train?,Spirit Tracks,The Wind Waker,The Minish Cap,Phantom Hourglass,,,,
Nintendo,26,Which game in The Legend of Zelda series describes the very beginning of the entire timeline?,Skyward Sword,A Link to the Past,Link's Awakening,Oracle of Ages,"A mainline entry in The Legend of Zelda series, Skyward Sword is the first game in the Zelda timeline",,,
Nintendo,27,In which game in The Legend of Zelda series could Link fly on a bird?,Skyward Sword,The Wind Waker,Twilight Princess,Breath of the Wild,,,,
Nintendo,28,Which game in The Legend of Zelda series featured Wii Motion controls?,Skyward Sword,A Link Between Worlds,The Wind Waker,Tri Force Heroes,,,,
Nintendo,29,"In which Nintendo game series does Mario need to be saved, rather than Mario being the one who saves the princess?",Luigi's mansion 3,Captain Toad: Treasure Tracker,Super Mario Maker,Paper Mario: The Origami King,,,,
Nintendo,30,Which of these games allowed players to control a combat robot?,Kirby,Super Mario,The Legend of Zelda,Splatoon,,,,
Nintendo,31,Which game featured the famous Gourmet Race melody?,Kirby,Super Mario,The Legend of Zelda,Mario Kart,,,,
Nintendo,32,In which game style has there not been a game featuring Yoshi?,Knitted toysPlasticine,Hand-drawn with pencils,Origami,Knitted toys,,,,
Nintendo,33,Who is the main character in the EarthBound game series?,Ness,Lucas,Pit,Megaman,,,,
